ROI,Hemisphere,Network,BA,,
175,L,Visual Asso,VisMotor,,
176,L,Visual I,VisMotor,,
177,L,Visual Asso,VisMotor,,
178,L,Limbic,VisMotor,,
179,L,Motor,SupramargGyr,,
180,L,Motor,SupramargGyr,,
181,L,Motor,SupramargGyr,,
182,L,FPN,AngGyrus,,
183,L,SMF,AngGyrus,,
184,L,FPN,AngGyrus,,
185,L,SMF,Temporalpole,,
186,L,SMF,Temporalpole,,
187,L,SMF,Temporalpole,,
188,L,Motor,Temporalpole,,
189,L,Motor,Temporalpole,,
190,L,SMF,MedTempGyrus,,
191,L,Motor,MedTempGyrus,,
192,L,SMF,MedTempGyrus,,
193,L,FPN,MedTempGyrus,,
194,L,SMF,InfTempGryus,,
195,L,Motor,InfTempGryus,,
196,L,FPN,InfTempGryus,,
197,L,Motor,SupTemGyrus,,
198,L,Visual I,Fusiform,,
199,L,FPN,Fusiform,,
200,L,Visual Asso,Fusiform,,
201,L,Visual Asso,Fusiform,,
202,L,Motor,ParaHip,,
203,L,DMN,Visual Assoc,,
204,L,Visual Asso,Visual Assoc,,
205,L,Visual I,Visual Assoc,,
206,L,Visual Asso,Visual Assoc,,
207,L,Visual I,Visual Assoc,,
208,L,Visual I,Visual Assoc,,
209,L,Visual Asso,Visual Assoc,,
210,L,Visual Asso,SecVisual,,
211,L,Visual I,SecVisual,,
212,L,Visual II,SecVisual,,
213,L,Visual II,SecVisual,,
214,L,Visual II,SecVisual,,
215,L,Visual I,PrimVisual,,
216,L,Visual I,PrimVisual,,
217,L,Sub,n/a (Basal ganglia),,
218,L,Motor,PreMot+SuppMot,,
219,L,SMF,DorsalACC,,
220,L,Limbic,VentCing,,
221,L,Limbic,VentCing,,
222,L,DMN,VenPostCing,,
223,L,DMN,VenPostCing,,
224,L,Limbic,VenPostCing,,
225,L,DMN,DorsalPCC,,
226,L,Limbic,DorsalPCC,,
227,L,DMN,AnrRetrolimb,,
228,L,Sub,Amygdala,,
229,L,Sub,Hippocampus,,
230,L,Sub,Hippocampus,,
231,L,Sub,Hippocampus,,
232,L,Sub,Hippocampus,,
233,L,DMN,ParaHipp (Basal ganglia),,
234,L,DMN,ParaHipp  (Basal ganglia),,
235,L,Motor,ParaHipp,,
236,L,Cerebellum,Cerebellum,,
237,L,Cerebellum,Cerebellum,,
238,L,Cerebellum,Cerebellum,,
239,L,DMN,Cerebellum,,
240,L,Visual Asso,Cerebellum,,
241,L,Visual II,Cerebellum,,
242,L,FPN,Cerebellum,,
243,L,Cerebellum,Cerebellum,,
244,L,Limbic,Cerebellum,,
245,L,Limbic,Cerebellum,,
246,L,FPN,Cerebellum,,
247,L,FPN,Cerebellum,,
248,L,Cerebellum,Cerebellum,,
249,L,Cerebellum,Cerebellum,,
250,L,Cerebellum,Cerebellum,,
251,L,Limbic,Cerebellum,,
252,L,Cerebellum,Cerebellum,,
253,L,Cerebellum,Cerebellum,,
254,L,Cerebellum,Cerebellum,,
255,L,Cerebellum,Cerebellum,,
256,L,Cerebellum,Cerebellum,,
257,L,Sub,n/a(Basal ganglia),,
258,L,Sub,Caudate,,
259,L,Sub,Caudate,,
260,L,Sub,Caudate,,
261,L,Sub,Putamen,,
262,L,Sub,Putamen,,
263,L,Sub,Thalamus,,
264,L,Sub,Thalamus,,
265,L,BrainStem,BrainStem,,
266,L,Cerebellum,BrainStem,,
267,L,Cerebellum,BrainStem,,
268,L,Cerebellum,BrainStem,,
